leitura
900.0
79.0
173.0
247.0
327.0
454.0
536.0
624.0
736.0
811.0
851.0
900.0
33.0
154.0
201.0
321.0
383.0
450.0
552.0
669.0
783.0
889.0
900.0
102.0
203.0
287.0
332.0
438.0
482.0
551.0
603.0
674.0
776.0
882.0
900.0
38.0
84.0
199.0
321.0
436.0
510.0
628.0
740.0
805.0
884.0
900.0
116.0
182.0
300.0
376.0
458.0
509.0
601.0
704.0
750.0
838.0
900.0
27.0
70.0
136.0
232.0
337.0
396.0
497.0
605.0
730.0
859.0
900.0
68.0
196.0
271.0
324.0
377.0
494.0
604.0
726.0
818.0
875.0
900.0
33.0
109.0
177.0
282.0
378.0
498.0
605.0
653.0
703.0
772.0
832.0
900.0
28.0
103.0
226.0
322.0
409.0
479.0
579.0
664.0
900.0
55.0
143.0
205.0
287.0
342.0
385.0
460.0
567.0
690.0
747.0
815.0
864.0
900.0
119.0
247.0
348.0
457.0
544.0
628.0
675.0
745.0
791.0
900.0
39.0
93.0
192.0
260.0
368.0
471.0
594.0
685.0
758.0
841.0
900.0
41.0
92.0
219.0
286.0
375.0
426.0
476.0
540.0
645.0
710.0
761.0
833.0
884.0
900.0
32.0
123.0
244.0
293.0
390.0
493.0
567.0
696.0
746.0
819.0
900.0
110.0
226.0
319.0
427.0
550.0
649.0
764.0
825.0
875.0
900.0
71.0
181.0
285.0
339.0
379.0
421.0
550.0
618.0
730.0
784.0
900.0
100.0
219.0
270.0
330.0
440.0
503.0
565.0
634.0
725.0
794.0
858.0
900.0
90.0
164.0
227.0
347.0
445.0
528.0
623.0
716.0
830.0
900.0
38.0
139.0
207.0
329.0
382.0
449.0
573.0
684.0
783.0
849.0
900.0
104.0
166.0
213.0
302.0
419.0
510.0
582.0
707.0
782.0
838.0
897.0
